Title,Year,IMDb_Rating,Votes,Metascore,Runtime,Genre
Devs,2020,7.6,55K,N/A,TV-MA,"Cyber Thriller, Dystopian Sci-Fi, Suspense Mystery, Drama, Mystery, Sci-Fi, Thriller"
The Promised Neverland,2019–2021,8.1,55K,N/A,TV-14,"Japanese, Adult Animation, Anime, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Psychological Horror, Shōnen, Action, Adventure"
The Report,2019,7.2,55K,N/A,1h 59m,"Political Drama, Political Thriller, True Crime, Biography, Crime, Drama, History, Thriller"
Lost Ladies,2023,8.3,55K,66,2h 2m,"Hindi, Quirky Comedy, Comedy, Drama"
House of the Dragon,2022–,8.8,55K,N/A,59m,"Fantasy Epic, Political Drama, Sword & Sorcery, Action, Adventure, Drama, Fantasy, Romance"
Castle Rock,2018–2019,7.5,55K,N/A,TV-MA,"Dark Fantasy, Folk Horror, Psychological Horror, Supernatural Fantasy, Supernatural Horror, Drama, Fantasy, Horror, Mystery, Sci-Fi"
Four More Shots Please,2019–2022,5.6,55K,42,TV-MA,"Hindi, Comedy, Drama, Romance"
The Ice Road,2021,5.7,55K,N/A,1h 49m,"One-Person Army Action, Quest, Action, Adventure, Thriller"
The Spy,2019,7.9,55K,N/A,TV-MA,"Docudrama, Spy, Biography, Drama, History, Thriller"
Dexter: Original Sin,2024–2025,8.2,55K,N/A,TV-MA,"Serial Killer, Crime, Drama, Mystery"
Teri Baaton Mein Aisa Uljha Jiya,2024,6.2,55K,54,2h 21m,"Hindi, Artificial Intelligence, Romantic Comedy, Comedy, Drama, Romance, Sci-Fi"
In the Heights,2021,7.2,55K,N/A,2h 23m,"Pop Musical, Drama, Musical, Romance"
Hunters,2020–2023,7.2,55K,84,TV-MA,"Dark Comedy, Psychological Drama, Suspense Mystery, Crime, Drama, Mystery"
The Last of Us,2023–,8.9,55K,N/A,44m,"Dystopian Sci-Fi, Psychological Drama, Quest, Survival, Zombie Horror, Action, Adventure, Drama, Horror, Sci-Fi"
The Girl in the Spider's Web,2018,6.1,55K,N/A,1h 55m,"Cyber Thriller, Action, Adventure, Crime, Drama, Mystery, Thriller"
Gunpowder Milkshake,2021,6.1,55K,43,1h 54m,"Dark Comedy, One-Person Army Action, Action, Crime, Thriller"
Fly Me to the Moon,2024,6.6,55K,47,2h 12m,"Romantic Comedy, Comedy, Romance"
The Conjuring: Last Rites,2025,6.3,55K,53,2h 15m,"Supernatural Horror, Horror, Mystery, Thriller"
House of the Dragon,2022–,9.1,55K,N/A,59m,"Fantasy Epic, Political Drama, Sword & Sorcery, Action, Adventure, Drama, Fantasy, Romance"
The Silence,2019,5.4,55K,25,1h 30m,"Drama, Horror, Sci-Fi, Thriller"
Bottoms,2023,6.7,55K,74,1h 31m,"Dark Comedy, High-Concept Comedy, Raunchy Comedy, Satire, Teen Comedy, Comedy"
House of the Dragon,2022–,8.4,54K,N/A,1h 3m,"Fantasy Epic, Political Drama, Sword & Sorcery, Action, Adventure, Drama, Fantasy, Romance"
If Beale Street Could Talk,2018,7.1,54K,N/A,1h 59m,"Period Drama, Tragic Romance, Drama, Romance"
Crash Landing on You,2019–2020,8.7,54K,87,TV-14,"Korean, Feel-Good Romance, Korean Drama, Adventure, Comedy, Drama, Romance"
To Catch a Killer,2023,6.6,54K,43,1h 59m,"Serial Killer, Whodunnit, Action, Crime, Drama, Mystery, Thriller"
New Amsterdam,2018–2022,7.9,54K,N/A,TV-14,"Medical Drama, Drama"
The Witcher: Nightmare of the Wolf,2021,7.2,54K,67,1h 23m,"Adult Animation, Anime, Dark Fantasy, Hand-Drawn Animation, Sword & Sorcery, Action, Adventure, Animation, Drama, Fantasy"
Fyre,2019,7.2,54K,75,1h 37m,"Crime Documentary, Crime, Documentary, Music"
Tokyo Vice,2022–2024,8.1,54K,N/A,TV-MA,"Gangster, Police Procedural, True Crime, Crime, Drama, Thriller"
Jackass Forever,2022,6.8,54K,71,1h 36m,"Slapstick, Action, Comedy, Documentary"
Jujutsu Kaisen 0,2021,7.8,54K,74,1h 52m,"Japanese, Adult Animation, Anime, Hand-Drawn Animation, Shōnen, Action, Animation, Fantasy"
The Professor and the Madman,2019,7.2,54K,55,2h 4m,"Prison Drama, Psychological Drama, Biography, Drama, History"
Hellraiser,2022,5.9,54K,27,2h 1m,"Slasher Horror, Supernatural Horror, Horror, Mystery, Thriller"
Saint Maud,2019,6.6,54K,83,1h 24m,"Folk Horror, Psychological Drama, Psychological Horror, Psychological Thriller, Suspense Mystery, Tragedy, Drama, Horror, Mystery, Thriller"
Samrat Prithviraj,2022,5.5,54K,N/A,2h 15m,"Hindi, Action Epic, Epic, Historical Epic, Action, Drama, History, War"
Stuber,2019,6.2,54K,42,1h 33m,"Buddy Cop, Action, Comedy, Crime, Mystery, Thriller"
Paradise,2025–,7.9,54K,N/A,TV-MA,"Conspiracy Thriller, Cyber Thriller, Political Thriller, Action, Drama, Thriller"
Frieren: Beyond Journey's End,2023–,8.9,54K,N/A,TV-14,"Japanese, Adult Animation, Anime, Fantasy Epic, Hand-Drawn Animation, Iyashikei, Shōnen, Sword & Sorcery, Adventure, Animation"
Borderlands,2024,4.7,54K,26,1h 41m,"Action Epic, Adventure Epic, Dark Comedy, Epic, Quest, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Comedy"
The Serpent,2021,7.6,54K,N/A,TV-MA,"Serial Killer, True Crime, Crime, Drama, Thriller"
Pain Hustlers,2023,6.6,53K,44,2h 3m,"Docudrama, Drug Crime, True Crime, Crime, Drama"
Invasion,2021–2025,6.2,53K,N/A,TV-MA,"Alien Invasion, Drama, Fantasy, Sci-Fi"
The Archies,2023,4.2,53K,66,2h 21m,"Hindi, Coming-of-Age, Satire, Comedy, Drama, Musical, Romance"
Fighter,2024,6.2,53K,63,2h 46m,"Hindi, Action Epic, Action, Drama"
Persona,2018–2024,8.9,53K,N/A,TV-MA,"Turkish, Psychological Drama, Psychological Thriller, Crime, Drama, Mystery, Thriller"
The Good Liar,2019,6.7,53K,55,1h 49m,"Caper, Crime, Drama, Mystery, Thriller"
#Alive,2020,6.3,53K,N/A,1h 38m,"Korean, Zombie Horror, Action, Drama, Horror, Thriller"
The Hand of God,2021,7.3,53K,76,2h 10m,"Italian, Drama"
Troll,2022,5.8,53K,62,1h 41m,"Norwegian, Action, Adventure, Drama, Fantasy, Thriller"
His House,2020,6.4,53K,N/A,1h 33m,"Folk Horror, Psychological Horror, Supernatural Horror, Drama, Horror, Thriller"
Ragnarok,2020–2023,7.3,53K,72,TV-MA,"Norwegian, Superhero, Supernatural Fantasy, Teen Drama, Teen Fantasy, Action, Drama, Fantasy, Mystery, Thriller"
The Residence,2025,7.7,53K,N/A,TV-MA,"Screwball Comedy, Whodunnit, Comedy, Crime, Drama, Mystery"
Sikandar,2025,3.6,53K,N/A,2h 28m,"Hindi, Action Epic, One-Person Army Action, Tragedy, Action, Drama, Thriller"
Boiling Point,2021,7.5,53K,73,1h 32m,"Workplace Drama, Drama, Thriller"
Toofaan,2021,6.1,53K,N/A,2h 43m,"Hindi, Boxing, Drama, Sport"
Saiyaara,2025,6.4,53K,N/A,2h 30m,"Hindi, Pop Musical, Drama, Musical, Romance"
House of the Dragon,2022–,6.3,53K,N/A,1h 7m,"Fantasy Epic, Political Drama, Sword & Sorcery, Action, Adventure, Drama, Fantasy, Romance"
Farzi,2023–,8.3,53K,N/A,TV-MA,"Hindi, Gangster, Crime, Drama, Thriller, Financial Drama"
Smith,2024–,7,53K,N/A,TV-MA,"Spy, Action, Comedy, Crime, Thriller"
The Perfection,2018,6.2,53K,60,1h 30m,"Body Horror, Psychological Horror, Drama, Horror, Thriller"
Unsane,2018,6.4,53K,63,1h 38m,"Psychological Drama, Psychological Horror, Psychological Thriller, Drama, Horror, Mystery, Thriller"
Chernobyl,2019,9.5,52K,N/A,1h 5m,"Disaster, Docudrama, Epic, Historical Epic, Period Drama, Psychological Drama, Drama, History, Thriller"
Orphan: First Kill,2022,5.9,52K,54,1h 39m,"Psychological Drama, Psychological Horror, Serial Killer, Slasher Horror, Crime, Drama, Horror, Mystery, Thriller"
The Expendables 4,2023,4.8,52K,30,1h 43m,"Action Epic, Action, Adventure, Thriller, War"
Operation Finale,2018,6.6,52K,58,2h 2m,"Docudrama, Spy, Biography, Drama, History, Thriller, War"
Bad Sisters,2022–,8.2,52K,N/A,TV-MA,"Dark Comedy, Comedy, Drama, Thriller"
Possessor,2020,6.5,52K,72,1h 43m,"Body Horror, Cyber Thriller, Psychological Horror, Psychological Thriller, Horror, Mystery, Sci-Fi, Thriller"
Jury Duty,2023,8.2,52K,N/A,TV-14,"Hidden Camera, Mockumentary, Comedy"
The Boogeyman,2023,5.9,52K,55,1h 38m,"Supernatural Horror, Horror, Mystery, Thriller"
Lust Stories 2,2023,5.8,52K,78,2h 12m,"Hindi, Drama, Romance"
The Old Man & the Gun,2018,6.7,52K,N/A,1h 33m,"Caper, Heist, True Crime, Biography, Comedy, Crime, Drama, Romance"
Oddity,2024,6.7,52K,80,1h 38m,"Folk Horror, Supernatural Horror, Horror, Thriller"
American Animals,2018,7,52K,68,1h 56m,"Heist, True Crime, Biography, Crime, Drama, History, Thriller"
Lessons in Chemistry,2023,8.2,52K,N/A,TV-MA,"Period Drama, Drama"
Dexter: Resurrection,2025–,9.8,52K,N/A,47m,"Dark Comedy, Psychological Drama, Psychological Thriller, Serial Killer, Crime, Drama, Thriller"
I Still Love You,2020,6.1,52K,54,1h 41m,"Coming-of-Age, Romantic Comedy, Comedy, Drama, Romance"
The Mother,2023,5.6,52K,45,1h 55m,"One-Person Army Action, Action, Thriller"
Servant,2019–2023,7.4,52K,47,TV-MA,"Psychological Drama, Psychological Horror, Psychological Thriller, Suspense Mystery, Drama, Horror, Mystery, Thriller"
Until Dawn,2025,5.7,52K,N/A,1h 43m,"Body Horror, Folk Horror, Psychological Drama, Psychological Horror, Slasher Horror, Splatter Horror, Supernatural Horror, Zombie Horror, Drama, Horror"
All the Light We Cannot See,2023,7.5,52K,N/A,TV-MA,"Period Drama, War Epic, Drama, History, War"
Peter Rabbit,2018,6.6,52K,51,1h 35m,"Animal Adventure, Slapstick, Adventure, Animation, Comedy, Drama, Family, Fantasy"
Warrior,2019–2023,8.4,51K,N/A,TV-MA,"Kung Fu, Martial Arts, Period Drama, Action, Crime, Drama, History"
Happiest Season,2020,6.6,51K,69,1h 42m,"Dark Comedy, Holiday Comedy, Holiday Romance, Romantic Comedy, Comedy, Holiday, Romance"
Murder Mubarak,2024,5.8,51K,N/A,2h 20m,"Hindi, Whodunnit, Comedy, Horror, Mystery, Romance"
Countdown,2019,5.4,51K,31,1h 30m,"Cyber Thriller, Teen Horror, Horror, Thriller"
Gangs of London,2020–,8,51K,N/A,TV-MA,"Gangster, One-Person Army Action, Action, Crime, Drama"
Black Mirror,2011–,6.8,51K,N/A,1h 1m,"Cyber Thriller, Dystopian Sci-Fi, Psychological Drama, Psychological Thriller, Suspense Mystery, Tragedy, Crime, Drama, Mystery, Sci-Fi"
Anon,2018,6.1,51K,N/A,1h 40m,"Cyber Thriller, Cyberpunk, Crime, Mystery, Sci-Fi, Thriller"
Attack on Titan,2013–2023,9.1,51K,54,24m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
Lift,2024,5.5,51K,40,1h 47m,"Heist, Action, Comedy, Crime, Drama, Thriller"
Monarch: Legacy of Monsters,2023–,7,51K,N/A,TV-14,"Dinosaur Adventure, Kaiju, Action, Adventure, Sci-Fi"
Attack on Titan,2013–2023,9.4,51K,N/A,24m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
Dog,2022,6.5,51K,61,1h 41m,"Buddy Comedy, Comedy, Drama"
The Call,2020,7.1,51K,N/A,1h 52m,"Korean, Psychological Thriller, Crime, Horror, Mystery, Sci-Fi, Thriller"
The Legend of Vox Machina,2022–,8.4,51K,N/A,TV-MA,"Adult Animation, Hand-Drawn Animation, Action, Adventure, Animation, Comedy, Fantasy"
The Last of Us: Part II,2020,8.8,50K,N/A,M,"Contemporary Western, Dystopian Sci-Fi, Psychological Drama, Survival, Zombie Horror, Action, Adventure, Drama, Horror, Sci-Fi"
Final Space,2018–2021,8.2,50K,N/A,TV-14,"Adult Animation, Dark Comedy, Psychological Drama, Space Sci-Fi, Action, Adventure, Animation, Comedy, Drama, Fantasy"
Summer of 84,2018,6.7,50K,57,1h 45m,"Slasher Horror, Teen Horror, Whodunnit, Crime, Drama, Horror, Mystery, Thriller"
Tolkien,2019,6.8,50K,48,1h 52m,"Biography, Drama, Romance, War"
Drishyam 2,2022,8.2,50K,N/A,2h 20m,"Hindi, Suspense Mystery, Crime, Drama, Mystery, Thriller"
Priscilla,2023,6.5,50K,79,1h 53m,"Coming-of-Age, Dark Romance, Docudrama, Period Drama, Showbiz Drama, Teen Romance, Biography, Drama, Music, Romance"
The Gilded Age,2022–,8.1,50K,N/A,TV-MA,"Costume Drama, Period Drama, Drama"
The Boy Who Harnessed the Wind,2019,7.6,50K,68,1h 53m,"Biography, Drama, History"
Lovecraft Country,2020,7.1,50K,N/A,TV-MA,"Dark Fantasy, Epic, Folk Horror, Monster Horror, Supernatural Horror, Drama, Fantasy, Horror, Mystery, Sci-Fi"
Evil,2019–2024,7.7,50K,N/A,TV-14,"Psychological Horror, Supernatural Horror, Suspense Mystery, Crime, Drama, Horror, Mystery, Thriller"
Chip 'n Dale: Rescue Rangers,2022,6.9,50K,66,1h 37m,"Buddy Comedy, Computer Animation, Hand-Drawn Animation, Urban Adventure, Action, Adventure, Animation, Comedy, Crime, Family"
The Witches,2020,5.4,50K,47,1h 46m,"Supernatural Fantasy, Adventure, Comedy, Family, Fantasy, Horror, Mystery"
Race 3,2018,1.9,50K,N/A,2h 40m,"Hindi, Action, Thriller"
Sardar Udham,2021,8.3,50K,N/A,2h 44m,"Hindi, True Crime, Crime, Drama, History"
Palmer,2021,7.3,50K,53,1h 50m,"Teen Drama, Drama"
Chernobyl,2019,9.3,50K,N/A,1h 7m,"Disaster, Docudrama, Epic, Historical Epic, Period Drama, Psychological Drama, Drama, History, Thriller"
Cinderella,2021,4.4,50K,41,1h 52m,"Fairy Tale, Jukebox Musical, Pop Musical, Romantic Comedy, Romantic Epic, Teen Romance, Comedy, Family, Fantasy, Musical"
Strange World,2022,5.7,50K,65,1h 42m,"Computer Animation, Quest, Action, Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi"
Caddo Lake,2024,6.8,49K,55,1h 43m,"Time Travel, Whodunnit, Drama, Mystery, Sci-Fi, Thriller"
Harry Potter 20th Anniversary: Return to Hogwarts,2022,8,49K,N/A,1h 42m,"Documentary, Family"
The Wrong Missy,2020,5.8,49K,33,1h 30m,"Raunchy Comedy, Romantic Comedy, Comedy, Romance"
Rebecca,2020,6,49K,46,2h 3m,"Dark Romance, Psychological Thriller, Drama, Mystery, Romance, Thriller"
A Wrinkle in Time,2018,4.3,49K,53,1h 49m,"Fantasy Epic, Sci-Fi Epic, Teen Fantasy, Time Travel, Adventure, Drama, Family, Fantasy, Sci-Fi"
The Exorcist: Believer,2023,4.8,49K,39,1h 51m,Horror
The Goat Life,2024,7.1,49K,N/A,2h 53m,"Malayalam, Desert Adventure, Survival, Adventure, Drama"
Kaithi,2019,8.4,49K,N/A,2h 25m,"Tamil, Cop Drama, Drug Crime, One-Person Army Action, Action, Crime, Thriller"
Liger,2022,2.6,49K,N/A,2h 20m,"Hindi, Martial Arts, Action, Drama, Romance, Sport"
Messiah,2020,7.6,49K,N/A,TV-MA,"Political Thriller, Drama, Mystery, Thriller"
Young Royals,2021–2024,8.2,49K,N/A,TV-MA,"Swedish, Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance"
House of the Dragon,2022–,8,49K,N/A,1h 7m,"Fantasy Epic, Political Drama, Sword & Sorcery, Action, Adventure, Drama, Fantasy, Romance"
Rocky Aur Rani Kii Prem Kahaani,2023,6.5,49K,N/A,2h 48m,"Hindi, Romantic Comedy, Comedy, Drama, Family, Romance"
The Vast of Night,2019,6.7,49K,84,1h 31m,"Alien Invasion, Period Drama, Drama, Mystery, Sci-Fi, Thriller"
Griselda,2024,7.2,49K,N/A,TV-MA,"Docudrama, Drug Crime, True Crime, Biography, Crime, Drama"
Haunted Mansion,2023,6,49K,47,2h 3m,"Supernatural Fantasy, Supernatural Horror, Comedy, Drama, Family, Fantasy, Horror, Mystery"
X-Men '97,2024–,8.7,49K,N/A,TV-14,"Action Epic, Adult Animation, Adventure Epic, Epic, Hand-Drawn Animation, Political Drama, Sci-Fi Epic, Soap Opera, Superhero, Action"
Antlers,2021,5.9,49K,57,1h 39m,"Body Horror, Folk Horror, Monster Horror, Suspense Mystery, Drama, Horror, Mystery"
Attack on Titan,2013–2023,9.2,49K,N/A,24m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
Wish,2023,5.6,48K,47,1h 35m,"Computer Animation, Fairy Tale, Adventure, Animation, Comedy, Family, Fantasy, Musical"
Attack on Titan,2013–2023,9.7,48K,N/A,24m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
Resident Evil,2022,4.2,48K,N/A,TV-MA,"Splatter Horror, Supernatural Horror, Zombie Horror, Action, Horror, Sci-Fi, Thriller"
Superman & Lois,2021–2024,7.8,48K,N/A,TV-PG,"Coming-of-Age, Superhero, Teen Drama, Action, Adventure, Drama, Sci-Fi"
Serenity,2019,5.4,48K,37,1h 46m,"Suspense Mystery, Drama, Mystery, Thriller"
Escape from Pretoria,2020,6.8,48K,56,1h 46m,"Docudrama, Prison Drama, True Crime, Action, Biography, Crime, Mystery, Thriller"
Night School,2018,5.6,48K,43,1h 51m,"Raunchy Comedy, Comedy"
She Said,2022,7.3,48K,74,2h 9m,"Docudrama, True Crime, Workplace Drama, Crime, Drama, History"
The Offer,2022,8.6,48K,N/A,TV-MA,"Docudrama, Showbiz Drama, Biography, Crime, Drama"
The Addams Family,2019,5.8,48K,46,1h 26m,"Computer Animation, Dark Comedy, Supernatural Fantasy, Animation, Comedy, Family, Fantasy, Horror"
Abbott Elementary,2021–,8.2,48K,N/A,TV-PG,"Mockumentary, Sitcom, Comedy"
The Wonder,2022,6.6,48K,71,1h 48m,"Period Drama, Psychological Drama, Psychological Thriller, Drama, Mystery, Thriller"
Batwoman,2019–2022,3.6,48K,N/A,TV-14,"Superhero, Action, Adventure, Crime, Drama, Sci-Fi"
The Prototype,2022,2.3,48K,70,1h 37m,"Conspiracy Thriller, Action, Sci-Fi, Thriller"
The Phoenician Scheme,2025,6.7,48K,N/A,1h 41m,"Dark Comedy, Period Drama, Quirky Comedy, Spy, Action, Comedy, Crime, Drama, Thriller"
House of the Dragon,2022–,9.2,48K,N/A,59m,"Fantasy Epic, Political Drama, Sword & Sorcery, Action, Adventure, Drama, Fantasy, Romance"
Thunder Force,2021,4.6,48K,34,1h 46m,"Buddy Comedy, Superhero, Action, Adventure, Comedy, Fantasy, Sci-Fi"
Outside the Wire,2021,5.4,48K,45,1h 54m,"Artificial Intelligence, Dystopian Sci-Fi, Action, Adventure, Fantasy, Sci-Fi"
The Lord of the Rings: The Rings of Power,2022–,7.2,47K,N/A,1h 9m,"Adventure Epic, Epic, Fantasy Epic, Sword & Sorcery, Action, Adventure, Drama, Fantasy"
The Witcher: Blood Origin,2022,5,47K,N/A,TV-MA,"Fantasy Epic, Action, Adventure, Drama, Fantasy, Mystery"
White Boy Rick,2018,6.5,47K,59,1h 51m,"Drug Crime, True Crime, Crime, Drama"
The Forever Purge,2021,5.4,47K,N/A,1h 43m,"Contemporary Western, Action, Crime, Drama, Horror, Thriller, Western"
Better Call Saul,2015–2022,9.8,47K,53,50m,"Drug Crime, Epic, Legal Drama, Psychological Drama, Tragedy, Crime, Drama"
The Lord of the Rings: The Rings of Power,2022–,8.1,47K,N/A,1h 9m,"Adventure Epic, Epic, Fantasy Epic, Sword & Sorcery, Action, Adventure, Drama, Fantasy"
Snake Eyes,2021,5.4,47K,43,2h 1m,"Martial Arts, Superhero, Action, Adventure, Crime, Fantasy, Sci-Fi, Thriller"
Marry Me,2022,6.1,47K,51,1h 52m,"Romantic Comedy, Comedy, Music, Romance"
House of the Dragon,2022–,8.7,47K,N/A,58m,"Fantasy Epic, Political Drama, Sword & Sorcery, Action, Adventure, Drama, Fantasy, Romance"
Oxygen,2021,6.5,47K,67,1h 40m,"French, Artificial Intelligence, Psychological Drama, Drama, Fantasy, Sci-Fi, Thriller"
It's What's Inside,2024,6.6,47K,56,1h 43m,"Dark Comedy, Whodunnit, Comedy, Mystery, Sci-Fi, Thriller"
Host,2020,6.5,47K,73,57m,"Found Footage Horror, Slasher Horror, Supernatural Horror, Horror, Mystery"
The Marksman,2021,5.7,47K,44,1h 48m,"Contemporary Western, One-Person Army Action, Road Trip, Action, Drama, Thriller"
Senior Year,2022,5.5,47K,47,1h 51m,"Dark Comedy, High-Concept Comedy, Raunchy Comedy, Satire, Teen Comedy, Comedy, Drama"
Beast,2022,5.6,47K,54,1h 33m,"Survival, Action, Adventure, Drama, Horror, Thriller"
Echo,2023–2024,5.9,47K,78,TV-MA,"Superhero, Action, Adventure, Crime, Drama, Mystery, Sci-Fi"
Predator: Killer of Killers,2025,7.5,47K,N/A,1h 25m,"Adult Animation, Computer Animation, Action, Adventure, Animation, Sci-Fi, Thriller"
Kaleidoscope,2023,6.6,47K,N/A,TV-MA,"Heist, True Crime, Action, Crime, Drama, Thriller"
What Is a Woman?,2022,8.1,47K,N/A,1h 35m,"Dark Comedy, Political Documentary, Documentary"
Nowhere,2023,6.3,47K,N/A,1h 49m,"Spanish, Survival, Drama, Thriller"
Women Talking,2022,6.9,47K,77,1h 44m,"Period Drama, Psychological Drama, Drama"
White Noise,2022,5.7,47K,66,2h 16m,"Dark Comedy, Satire, Comedy, Drama, Horror, Mystery"
Weird: The Al Yankovic Story,2022,6.8,47K,70,1h 48m,"Quirky Comedy, Action, Biography, Comedy, Crime, Music, Musical"
Rise of Empires: Ottoman,2020–2022,8,47K,N/A,TV-MA,"Turkish, Docuseries, History Documentary, War Epic, Documentary, Drama, History, War"
Black Mirror,2011–,6.1,47K,N/A,1h 7m,"Cyber Thriller, Dystopian Sci-Fi, Psychological Drama, Psychological Thriller, Suspense Mystery, Tragedy, Crime, Drama, Mystery, Sci-Fi"
Stranger Things,2016–2025,9.6,47K,N/A,1h 38m,"Dark Fantasy, Fantasy Epic, Monster Horror, Sci-Fi Epic, Supernatural Fantasy, Supernatural Horror, Teen Horror, Drama, Fantasy, Horror"
And Just Like That...,2021–2025,5.6,47K,N/A,TV-MA,"Feel-Good Romance, Raunchy Comedy, Comedy, Drama, Romance"
Param Sundari,2025,5.6,47K,N/A,2h 32m,"Hindi, Romance"
The Empty Man,2020,6.2,47K,N/A,2h 17m,"Folk Horror, Psychological Horror, Supernatural Horror, Drama, Horror, Mystery, Thriller"
Our Flag Means Death,2022–2023,7.8,47K,N/A,TV-MA,"Feel-Good Romance, Swashbuckler, Action, Adventure, Biography, Comedy, History, Romance"
Being the Ricardos,2021,6.5,47K,60,2h 11m,"Period Drama, Showbiz Drama, Biography, Drama"
Black Mirror,2011–,7.5,46K,N/A,1h 10m,"Cyber Thriller, Dystopian Sci-Fi, Psychological Drama, Psychological Thriller, Suspense Mystery, Tragedy, Crime, Drama, Mystery, Sci-Fi"
Stree,2018,7.5,46K,N/A,2h 8m,"Hindi, Comedy, Horror"
OMG 2,2023,7.5,46K,N/A,2h 36m,"Hindi, Quirky Comedy, Comedy, Drama"
The Outpost,2019,6.8,46K,71,2h 3m,"Docudrama, Action, Drama, History, War"
The Kominsky Method,2018–2021,8.2,46K,N/A,TV-MA,"Sitcom, Comedy, Drama"
The Card Counter,2021,6.2,46K,59,1h 51m,"Psychological Drama, Psychological Thriller, Tragedy, Crime, Drama, Thriller"
The Half of It,2020,6.9,46K,78,1h 44m,"Coming-of-Age, Comedy, Drama"
They Cloned Tyrone,2023,6.6,46K,74,2h 2m,"Dark Comedy, Satire, Comedy, Mystery, Sci-Fi, Thriller"
Old Dads,2023,6.2,46K,74,1h 44m,"Raunchy Comedy, Comedy"
Gully Boy,2019,7.9,46K,42,2h 34m,"Hindi, Coming-of-Age, Drama, Music, Romance"
Nobody 2,2025,6.3,46K,65,1h 29m,"Dark Comedy, One-Person Army Action, Action, Comedy, Crime, Thriller"
Kaos,2024,7.4,46K,N/A,TV-MA,"Dark Comedy, Comedy, Drama, Fantasy"
Attack on Titan,2013–2023,9.3,46K,N/A,24m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
Attack on Titan,2013–2023,9.6,46K,N/A,24m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
The Art of Racing in the Rain,2019,7.6,46K,67,1h 49m,"Coming-of-Age, Feel-Good Romance, Comedy, Drama, Romance, Sport"
Abominable,2019,7,46K,43,1h 37m,"Computer Animation, Quest, Adventure, Animation, Comedy, Family, Fantasy"
Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,2025,8.5,46K,61,2h 35m,"Japanese, Adult Animation, Anime, Dark Fantasy, Hand-Drawn Animation, Shōnen, Supernatural Fantasy, Sword & Sorcery, Action, Adventure"
Love & Death,2023,7.5,46K,N/A,TV-MA,"Psychological Thriller, True Crime, Whodunnit, Biography, Crime, Drama, Mystery, Thriller"
Fatherhood,2021,6.6,46K,53,1h 49m,"Coming-of-Age, Psychological Drama, Comedy, Drama"
Crimes of the Future,2022,5.8,46K,68,1h 47m,"Body Horror, Dystopian Sci-Fi, Drama, Horror, Sci-Fi"
Boy Erased,2018,6.9,46K,69,1h 55m,"Coming-of-Age, Psychological Drama, Teen Drama, Biography, Drama"
The Perfect Date,2019,5.8,46K,N/A,1h 29m,"Romantic Comedy, Comedy, Romance"
Cowboy Bebop,2021,6.7,46K,N/A,TV-MA,"Space Sci-Fi, Action, Adventure, Comedy, Crime, Drama, Sci-Fi"
How to Sell Drugs Online (Fast),2019–2025,7.8,46K,N/A,TV-MA,"Dutch, Coming-of-Age, Comedy, Crime, Drama, Romance"
Pinocchio,2022,5.1,46K,38,1h 45m,"Fairy Tale, Adventure, Comedy, Drama, Family, Fantasy, Musical"
Ludo,2020,7.6,46K,N/A,2h 30m,"Hindi, Dark Comedy, Action, Comedy, Drama"
777 Charlie,2022,8.7,45K,N/A,2h 44m,"Kannada, Adventure, Comedy, Drama"
Hotel Transylvania 4: Transformania,2022,6,45K,46,1h 27m,"Computer Animation, Quest, Satire, Slapstick, Supernatural Fantasy, Adventure, Animation, Comedy, Family, Fantasy"
Bad Education,2019,7.1,45K,79,1h 48m,"Docudrama, True Crime, Workplace Drama, Biography, Comedy, Crime, Drama"
Fair Play,2023,6.4,45K,73,1h 53m,"Psychological Drama, Psychological Thriller, Drama, Thriller"
Outer Range,2022–2024,7.1,45K,N/A,TV-MA,"Psychological Drama, Psychological Thriller, Suspense Mystery, Drama, Mystery, Thriller"
Mission Majnu,2023,6.9,45K,N/A,2h 9m,"Hindi, Period Drama, Spy, Action, Drama, History, Thriller"
Black Mirror,2011–,7.4,45K,N/A,58m,"Cyber Thriller, Dystopian Sci-Fi, Psychological Drama, Psychological Thriller, Suspense Mystery, Tragedy, Crime, Drama, Mystery, Sci-Fi"
